"Recklinghausen Blumenthal","-30","50"
"Crange","-36","47"
"Hagen Streckenwechsel 2811/2823","-29","-157"
"Horstmar","18","61"
"Duisburg Kaiserberg","-46","10"
"Dortmund-Körne (Abzw)","-66","392"
"Oberhausen Kolkmannshof","-37","-24"
"Gelsenkirchen Nordstern","-38","34"
"Gerschede","-42","24"
"Duisburg-Hochfeld Süd Abzw","-49","5"
"Oberhausen Walzwerk","-34","5"
"Schwerte Heide","-48","88"
"Hohensyburg","-48","79"
"Herringen","-24","104"
"Dortmund-Lütgendortmund Gbf Flm","-40","63"
"Bochum Prinz von Preußen","-41","55"
"Essen Prosper-Levin","-106","-351"
"Hagen Rehsiepen","-67","52"
"Krefeld-Oppum","-57","-9"
"Düsseldorf Fortuna","-67","13"
"Neuss Hbf","-70","-2"
"Höhenhaus","-91","33"
"Neuss Erftkanal","-68","2"
"Düsseldorf Dora","-69","10"
"Meerbeck (Abzw)","44","245"
"Düsseldorf Vogelsang","-63","5"
"Düsseldorf Sturm","-67","9"
"Tiefenbroich","-60","13"
"Neuss Nordkanal","-71","-1"
"Köln Posthof","-96","25"
"Marl Lippe","-24","41"
"Münster Lechtenberg","2","94"
"Düsseldorf-Derendorf Hp","-66","9"
"Köln-Nippes (Abzw)","-93","24"
"Köln Süd Abzw","-97","24"
"Gelsenkirchen Streckenwechsel 2205/2206","-37","46"
"Ratingen Streckenwechsel 2404/2405","-59","29"
"Köln Südbrücke","-98","27"
"Dortmund-Deusen","-35","72"
"Duisburg-Duissern","-46","10"
"Duisburg-Buchholz Abzw","-78","-31"
"Köln Steinstraße","-100","36"
"Baal Gbf","-87","-43"
"Gremberg Süd","-101","36"
"Essen-Dellwig (Abzw)","-41","23"
"Köln Frankfurter Straße Abzw","-98","35"
"Neuss Gbf","-70","-2"
"Bochum Präsident Streckenw 2151/2152","-41","50"
"Essen-Dellwig Ost","-41","23"
"Wuppertal Rauenthal","-64","54"
"Hamm Gallberg","-25","110"
"Westerholt","-30","39"
"Herten-Mitte","62","671"
"Köln-Stammheim","-305","245"
"Leverkusen Mitte","-87","29"
"Langenfeld (Rheinl)","-78","25"
"Oberhausen Grafenbusch","-41","17"
"Köln-Ehrenfeld Gbf","-95","22"
"Brühl-Vochem","-106","20"
"Köln West","-96","23"
"Köln West Ws","-96","11"
"Köln West Wf","-96","23"
"Leverkusen-Küppersteg Hp","-85","30"
"Langenfeld (Rheinl) Güterbahnhof","-80","24"
"Feldhausen","-29","27"
"Dorsten Süd","-24","26"
"Geist","-279","-49"
"Münster-Amelsbüren","-2","91"
"Davensberg","-8","90"
"Ascheberg (Westf)","-11","92"
"Capelle (Westf)","-17","89"
"Werne (a d Lippe)","-23","93"
"Dortmund-Sölde","-40","89"
"Dortmund-Aplerbeck","-41","86"
"Dortmund-Hörde","-43","80"
"Hemmerde","-35","111"
"Lünern","-35","106"
"Telgte","8","108"
"Nevinghof/Münster Zentrum Nord","9","93"
"Dortmund Bbf","-41","82"
"Dortmund-Wickede","-40","116"
"Dortmund Knappschaftskrankenhaus","-38","84"
"Dortmund-Körne","-39","80"
"Dortmund-Asseln Mitte","-37","88"
"Massen","-175","-64"
"Dortmund-Asseln","-37","88"
"Dortmund-Brackel","140","335"
"Dortmund-Wickede West","-37","91"
"Dortmund-Aplerbeck Süd","-41","86"
"Dortmund-Derne","-1914","1594"
"Dortmund-Kirchderne","-34","82"
"Dülmen","-7","58"
"Selm","-21","77"
"Lüdinghausen","-13","75"
"Lette (Kr Coesfeld)","-1","49"
"Selm-Beifang","40","-182"
"Dortmund-Lütgendortmund","-40","65"
"Dortmund Stadthaus","-39","77"
"Dortmund West","-39","74"
"Dortmund Möllerbrücke","-39","75"
"Dortmund-Lütgendortmund Gbf","-40","63"
"Essen-Kray Süd","-44","37"
"Bochum-Riemke","-39","51"
"Herne-Rottbruch Hgn","-92","-66"
"Essen Süd","-46","32"
"Essen-Stadtwald","-97","20"
"Essen-Hügel","-49","31"
"Bochum-Langendreer West","-42","60"
"Dortmund-Dorstfeld Süd","-40","72"
"Dortmund-Kley","-264","-268"
"Dortmund-Oespel","-41","68"
"Dortmund Universität","-41","71"
"Dortmund-Huckarde Süd","-37","70"
"Dortmund-Wischlingen","-38","70"
"Dortmund-Huckarde","-37","70"
"Dortmund-Westerfilde","-36","67"
"Dortmund-Nette/Oestrich","-34","68"
"Gelsenkirchen-Schalke","-35","37"
"Dortmund-Bövinghausen","-38","62"
"Dortmund-Rahm","-96","25"
"Dortmund-Marten","-235","-91"
"Dortmund-Lütgendortmund Nord","-39","64"
"Dortmund-Huckarde Nord","-37","72"
"Castrop-Rauxel-Merklinde","-34","62"
"Dortmund-Rahm Üst","-38","69"
"Castrop-Rauxel Süd Hp","-35","61"
"Herne-Börnig","-35","57"
"Haltern am See","-16","48"
"Sythen","-13","52"
"Buldern","-3","67"
"Nottuln-Appelhülsen","0","73"
"Bösensell","1","78"
"Münster-Albachten","2","83"
"Sythen Bbf","-13","53"
"Gelsenkirchen-Buer Süd","-35","34"
"Gladbeck Ost","-32","29"
"Dorsten","-24","26"
"Deuten","-19","27"
"Rhade","143","241"
"Marbeck-Heiden","-221","-99"
"Hervest-Dorsten","-24","26"
"Dortmund-Marten Süd","-39","69"
"Dortmund Germania","-39","77"
"Dortmund-Dorstfeld West","-40","72"
"Dortmund-Lütgendortmund (S-Bahn)","-40","63"
"Dortmund-Somborn","-176","241"
"Marl Mitte","-25","40"
"Gelsenkirchen-Hassel","-235","-49"
"Gelsenkirchen-Buer Nord Hp","-31","35"
"Pelkum","-26","105"
"Bergkamen","-28","94"
"Oberaden","-28","90"
