"Streckennummer","Streckenabschnitt","Gleisart", "Länge","Höchstgeschwindigkeit","Bremsweg"
"2277","Oberhausen Hbf - Oberhausen Hbf, W 509","eingleisig","1,2","90","700 m Bremsweg"
"2277","Essen-Bergeborbeck - Essen-Altenessen, W 68","eingleisig","2,4","90","700 m Bremsweg"
"2650","Essen-Altenessen - Essen-Altenessen, W 68","Gegengleis","0,3","160","1000 m Bremsweg"
"2650","Essen-Altenessen - Essen-Altenessen, W 68","Richtungsgleis","0,3","160","1000 m Bremsweg"
"2650","Essen-Altenessen, W 68 - Essen Zollverein Nord","Gegengleis","2,7","160","1000 m Bremsweg"
"2650","Essen-Altenessen, W 68 - Essen Zollverein Nord","Richtungsgleis","2,7","160","1000 m Bremsweg"
"2278","Oberhausen Hbf, W 509 - Oberhausen West, W 485","eingleisig","0,9","60","700 m Bremsweg"
"2278","Oberhausen West, W 485 - Oberhausen West","eingleisig","0,1","40","1000 m Bremsweg"
"2312","Duisburg Hbf - Duisburg Hbf","eingleisig","0,0","80","1000 m Bremsweg"
"2310","Duisburg-Großenbaum - StrUeb2310_2311","eingleisig","6,3","130","1000 m Bremsweg"
"2326","Duisburg-Hochfeld Süd - Duisburg Hbf, 32W600","eingleisig","2,1","70","700 m Bremsweg"
"2505","Duisburg-Hochfeld Süd, 06W15 - Duisburg-Hochfeld Süd","eingleisig","0,5","80","1000 m Bremsweg"
"2321","StrUeb2321_2324 - Duisb-Wedau, W 3 Oberh West","Gegengleis","0,2","60","1000 m Bremsweg"
"2321","StrUeb2321_2324 - Duisb-Wedau, W 3 Oberh West","Richtungsgleis","0,2","60","1000 m Bremsweg"
"2321","Duisb-Wedau, W 3 Oberh West - Duisburg Lotharstraße","Gegengleis","2,5","80","1000 m Bremsweg"
"2321","Duisb-Wedau, W 3 Oberh West - Duisburg Lotharstraße","Richtungsgleis","2,5","80","1000 m Bremsweg"
"2505","Duisburg-Hochfeld Süd, 06W8 - Duisburg-Hochfeld Süd, 06W15","Gegengleis","0,1","80","1000 m Bremsweg"
"2505","Duisburg-Hochfeld Süd, 06W8 - Duisburg-Hochfeld Süd, 06W15","Richtungsgleis","0,1","80","1000 m Bremsweg"
"2324","Köln-Kalk Nord - Köln-Kalk Nord, Stw Ksf, W 612","Gegengleis","1,0","80","700 m Bremsweg"
"2324","Köln-Kalk Nord - Köln-Kalk Nord, Stw Ksf, W 612","Richtungsgleis","1,0","80","700 m Bremsweg"
"2324","Köln-Kalk Nord, Stw Ksf, W 612 - Köln-Kalk Nord, W 620","Gegengleis","0,1","80","700 m Bremsweg"
"2324","Köln-Kalk Nord, Stw Ksf, W 612 - Köln-Kalk Nord, W 620","Richtungsgleis","0,1","80","700 m Bremsweg"
"2406","Düsseldorf Flughafen Terminal - Düsseldorf Flughafen Terminal, W 884","Gegengleis","1,3","80","700 m Bremsweg"
"2406","Düsseldorf Flughafen Terminal - Düsseldorf Flughafen Terminal, W 884","Richtungsgleis","1,3","80","700 m Bremsweg"
"2670","Düsseldorf-Unterrath, W 765 - Düsseldorf Flughafen (Hp)","Gegengleis","0,6","160","1000 m Bremsweg"
"2670","Düsseldorf-Unterrath, W 765 - Düsseldorf Flughafen (Hp)","Richtungsgleis","0,6","160","1000 m Bremsweg"
"2670","Düsseldorf-Unterrath - Düsseldorf-Unterrath, W 761","Gegengleis","0,8","160","1000 m Bremsweg"
"2670","Düsseldorf-Unterrath - Düsseldorf-Unterrath, W 761","Richtungsgleis","0,8","160","1000 m Bremsweg"
"2670","Düsseldorf-Unterrath, W 761 - Düsseldorf-Unterrath, W 765","Gegengleis","0,2","160","1000 m Bremsweg"
"2670","Düsseldorf-Unterrath, W 761 - Düsseldorf-Unterrath, W 765","Richtungsgleis","0,2","160","1000 m Bremsweg"
"2550","Düsseldorf-Bilk - Düsseldorf Hbf, W 34","Gegengleis","1,4","90","1000 m Bremsweg"
"2550","Düsseldorf-Bilk - Düsseldorf Hbf, W 34","Richtungsgleis","1,4","90","1000 m Bremsweg"
"2414","Düsseldorf Abstellbf (Tiefgleis), W 6 - Düsseldorf Abstellbahnhof","Gegengleis","0,1","40","700 m Bremsweg"
"2414","Düsseldorf Abstellbf (Tiefgleis), W 6 - Düsseldorf Abstellbahnhof","Richtungsgleis","0,1","40","700 m Bremsweg"
"2414","Düsseldorf Abstellbahnhof, W 4 (Wechselgleis) - Düsseldorf Abstellbf (Tiefgleis), W 6","Gegengleis","0,1","40","700 m Bremsweg"
"2414","Düsseldorf Abstellbahnhof, W 4 (Wechselgleis) - Düsseldorf Abstellbf (Tiefgleis), W 6","Richtungsgleis","0,1","40","700 m Bremsweg"
"2550","Düsseldorf Hbf, W 34 - Düsseldorf Hbf, W 52","Gegengleis","0,2","80","1000 m Bremsweg"
"2550","Düsseldorf Hbf, W 34 - Düsseldorf Hbf, W 52","Richtungsgleis","0,2","80","1000 m Bremsweg"
"2550","Düsseldorf Hbf, W 52 - Düsseldorf Hbf","Gegengleis","0,5","40","1000 m Bremsweg"
"2550","Düsseldorf Hbf, W 52 - Düsseldorf Hbf","Richtungsgleis","0,5","40","1000 m Bremsweg"
"2670","Düsseldorf-Derendorf - Dü-Unterrath, W 751","Gegengleis","1,3","160","1000 m Bremsweg"
"2670","Düsseldorf-Derendorf - Dü-Unterrath, W 751","Richtungsgleis","1,3","160","1000 m Bremsweg"
"2670","Dü-Unterrath, W 751 - Düsseldorf-Unterrath","Gegengleis","1,6","160","1000 m Bremsweg"
"2670","Dü-Unterrath, W 751 - Düsseldorf-Unterrath","Richtungsgleis","1,6","160","1000 m Bremsweg"
"2650","Düsseldorf Emma - Düsseldorf Hbf, W 103","Gegengleis","1,4","160","1000 m Bremsweg"
"2650","Düsseldorf Emma - Düsseldorf Hbf, W 103","Richtungsgleis","1,4","160","1000 m Bremsweg"
"2650","Düsseldorf Hbf, W 103 - Düsseldorf Hbf","Gegengleis","0,4","80","1000 m Bremsweg"
"2650","Düsseldorf Hbf, W 103 - Düsseldorf Hbf","Richtungsgleis","0,4","80","1000 m Bremsweg"
"2524","Rheydt Hbf - Rheydt Gbf, 60W239","eingleisig","1,4","80","700 m Bremsweg"
"2524","Rheydt Gbf, 60W239 - Rheydt Gbf","eingleisig","0,4","50","700 m Bremsweg"
"2525","Wuppertal-Oberbarmen - Wuppertal-Oberbarmen, W 117","Gegengleis","0,1","110","1000 m Bremsweg"
"2525","Wuppertal-Oberbarmen - Wuppertal-Oberbarmen, W 117","Richtungsgleis","0,1","110","1000 m Bremsweg"
"2525","Wuppertal-Oberbarmen, W 117 - Wuppertal-Langerfeld (Hp)","Gegengleis","1,4","120","1000 m Bremsweg"
"2525","Wuppertal-Oberbarmen, W 117 - Wuppertal-Langerfeld (Hp)","Richtungsgleis","1,4","120","1000 m Bremsweg"
"2550","Büttgen - StrUeb2530_2550","Gegengleis","5,4","140","1000 m Bremsweg"
"2550","Büttgen - StrUeb2530_2550","Richtungsgleis","5,4","140","1000 m Bremsweg"
"2550","Lindern - Lindern, 24W22","Gegengleis","0,6","160","1000 m Bremsweg"
"2550","Lindern - Lindern, 24W22","Richtungsgleis","0,6","160","1000 m Bremsweg"
"2550","Lindern, 24W22 - Brachelen","Gegengleis","1,4","160","1000 m Bremsweg"
"2550","Lindern, 24W22 - Brachelen","Richtungsgleis","1,4","160","1000 m Bremsweg"
"2550","Aachen Schanz - StrUeb2550_2553","Gegengleis","0,9","80","1000 m Bremsweg"
"2550","Aachen Schanz - StrUeb2550_2553","Richtungsgleis","0,9","80","1000 m Bremsweg"
"2550","StrUeb2550_2553 - Aachen West","Gegengleis","0,4","60","1000 m Bremsweg"
